"H2"||"H"||2||23|||76|||||0|0|0|0|2|25|50|65|85|35|45|70|15|25|60|10|15|40|24|66.9|85||4.7|||13.6|||16.7|||20.1|||11.8||0|23.1|50|||||||0|10|27||||0|1|2||||1.45|1.55|1.65|||||1.67|||14|28|42|0.07|0.08|0.09|||||10.2|||4.6|||22||0|1.5|2.9|10|12.5|15|0|1.5|3|0|0|0|".10"|".28"|0|1|1|0|0|0|0|0|0|0|0|0|0|5.4|14.6|||||||5.1|6.2|7.3|||||||||||||||||||||||||||||||||"13896607"|"39878304"
"H1"||"H"||1||0|||23|||||0|0|0|0|0|10|65|75|85|40|55|70|25|45|65|15|35|50|24|43.3|52||4.2|||5.8|||7.7|||13.4|||12.2||28|39.7|50|||||||7|17|27||||2|3.5|5||||1.35|1.5|1.65|||||1.6|||14|28|42|0.04|0.09|0.14|||||20.4|||10.3|||27||0|1.5|2.9|10|12.5|15|0|1.5|3|0|0|0|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||1.5|4.3|7.8||||4.5|5|5.5|||||||||||||||||||||||||||||||||"13896607"|"39878305"
"H3"||"H"||3||76|||152|||||0|0|0|0|2|25|45|60|70|35|45|45|15|25|30|0|5|10|44|78.5|100||3.2|||12.4|||20.6|||27.1|||15.2||0|16.5|49|||||||0|5|20||||0|0.25|0.5||||1.45|1.55|1.65|||||1.67|||42|92|141|0.02|0.03|0.04||10.6|||7.3|||2.2|||23||0|1.5|2.9||||0|0|0|0|0|0|".10"|".24"|1|6|10|0|0|0|0|0|0|0|0|0|0|2.7|10.6|||||||6.6|7.2|7.8|||||||||||||||||||||||||||||||||"13896607"|"39878306"
"H1"||"H"||1||0|||28|||||0|0|0|0|0|0|85|95|100|75|92|100|65|85|100|50|75|95|15|27|32||2.1|||3.1|||4.4|||8.5|||8.9||50|51|80|||||||0|22|27||||3|4.5|6||||1.1|1.25|1.4|||||1.31|||4|9|14|0.17|0.2|0.22|||||29.3|||15.5|||46||0|1.5|2.9|25|35|45|3|11.5|20|0|7|21|".32"|".32"|0|0|1|0|0|0|0|0|0|0|0|0|0|12.1|14.8|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"13896615"|"39878307"
"H2"||"H"||2||28|||66|||||0|0|0|0|0|5|70|90|100|60|85|96|50|75|90|35|70|85|15|17.9|52||0.2|||0.4|||1.2|||5.2|||10.9||20|50.1|73|||||||18|32|35||||0|1.5|2||||1.6|1.73|1.85|||||1.82|||0.42|0.91|1.4|0.11|0.15|0.19|||||27.5|||21.9|||29||0|1.5|2.9|15|25|35|3|11.5|20|0|5|15|".43"|".43"|0|0|1|0|0|0|0|0|0|0|0|0|9.1|17.2|18.8|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"13896615"|"39878308"
"H3"||"H"||3||66|||76|||||0|0|0|0|2|5|50|75|90|35|65|75|25|55|70|20|45|65|15|26|52||2.1|||3|||4.2|||8.1|||8.6||28|52|80|||||||18|22|35||||0|1|2||||1.7|1.83|1.95|||||1.95|||0.42|0.91|1.4|0.06|0.1|0.13|||||20.2|||12.8|||21||0|1.5|2.9|15|25|35|3|11.5|20|0|1|10|".28"|".49"|0|0|15|0|0|0|0|0|0|0|0|0|9.1|11.8|18.8|||||||6.1|7.3|8.4|||||||||||||||||||||||||||||||||"13896615"|"39878309"
"H4"||"H"||4||76|||86|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0.005|0.01||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"13896615"|"39878310"
"H2"||"H"||2||10|||58|||||0|0|0|0|0|0|95|100|100|92|100|100|65|90|95|25|55|65|44|63.8|91||0.3|||1.1|||3.8|||20.5|||38.1||0|26.2|49|||||||0|10|17||||0|1|2||||1.25|1.4|1.55|||||1.46|||14|28|42|0.06|0.11|0.16|||||17.5|||7.8|||44||0|1.5|2.9|15|15|15|0|2|4|0|0|0|".49"|".49"|0|1|1|0|0|0|0|0|0|0|0|0|0|5.4|9.2|||||||4.5|5.9|7.3|||||||||||||||||||||||||||||||||"13896622"|"39878311"
"H1"||"H"||1||0|||10|||||0|0|0|0|0|0|95|100|100|92|100|100|65|90|95|40|55|65|44|63.2|85||0.3|||1.1|||3.8|||20.3|||37.7||0|26.8|49|||||||0|10|17||||2|3|4||||1.1|1.25|1.4|||||1.31|||14|28|42|0.12|0.15|0.18|||||19|||9.3|||49||0|1.5|2.9|15|15|15|0|2|4|0|0|0|".32"|".32"|0|1|1|0|0|0|0|0|0|0|0|0|0|5.5|9.3|||||||4.5|5.9|7.3|||||||||||||||||||||||||||||||||"13896622"|"39878312"
"H3"||"H"||3||58|||142|||||0|0|0|0|0|0|95|100|100|92|100|100|60|95|95|20|60|75|70|77.9|100||0.1|||0.4|||2.2|||21.4|||53.8||0|17.1|29|||||||0|5|15||||0|0.5|1||||1.25|1.4|1.55|||||1.46|||14|28|42|0.06|0.09|0.12|||||12.2|||3.5|||45||0|1.5|2.9||||0|0|0|0|0|0|".55"|".55"|0|1|1|0|0|0|0|0|0|0|0|0|0|2.7|8.1|||||||5.1|6.2|7.3|||||||||||||||||||||||||||||||||"13896622"|"39878313"
